Tarih;PM10 ;temperature;temperature_min;temperature_max;winddirection;windspeed;pressure
;PM10 ( æg/mü );temperature;temperature_min;temperature_max;winddirection;windspeed;pressure
04.02.2020;62,82848833;13,9;11,2;17;167;16,2;1011,9
03.02.2020;90,86787333;11,2;7,2;16;159;11,4;1018,2
02.02.2020;111,5122971;8,9;2;17;174;6,7;1020
01.02.2020;98,44488542;8,1;1,2;17;177;5,4;1018,6
31.01.2020;71,13619958;5,9;-1;12,1;185;7,7;1020,2
30.01.2020;30,36542458;10,9;7;15,2;229;15,7;1013,1
29.01.2020;89,90323042;9,2;3,7;16,6;160;10;1015,1
28.01.2020;63,75553125;10,5;6;14;169;7,5;1015,2
27.01.2020;147,9088317;10,7;7,1;16;160;11,4;1020,3
26.01.2020;139,5952029;7,6;2,5;13;176;5,7;1026,9
25.01.2020;108,1112192;3,9;-3;14;180;5,4;1027,9
24.01.2020;42,6932925;5,3;-2;10;195;20,9;1029,8
23.01.2020;85,76968208;3,9;-3;12,2;149;20,6;1023,4
22.01.2020;61,44342278;4,9;1;10;226;21,8;1027,6
21.01.2020;35,834945;4,8;3;7,5;213;36,2;1033,6
20.01.2020;50,9266625;6,2;3,6;9,6;214;26,4;1030,6
19.01.2020;37,07678792;5,7;-0,4;10;202;20,2;1018,9
18.01.2020;32,0430225;8,1;5;12;346;28,3;1018,9
17.01.2020;40,68922625;8,1;4,5;12;267;26,5;1018,6
16.01.2020;80,48498708;8,8;5,5;12,6;241;27,4;1019,7
15.01.2020;171,8609504;5,9;0;13;232;10,5;1024,5
14.01.2020;117,4548667;7,4;1;13;232;6,8;1024,5
13.01.2020;85,8925075;7,4;2;12;286;16,3;1024,5
12.01.2020;112,1804704;8,1;3,5;15;286;9,8;1023
11.01.2020;117,9425333;5,5;0;11;286;15,1;1021,9
10.01.2020;61,43860958;5,8;3;10;286;34,7;1020,8
09.01.2020;25,38303167;6,7;5;9;185;39,5;1017,9
08.01.2020;24,13294917;6,9;5,7;8,2;338;38,8;1009,6
07.01.2020;20,3702775;6,2;4,7;7;319;28,1;1003,3
06.01.2020;30,74355375;4;-1,5;11;319;4,9;1003,3
05.01.2020;102,4238067;6,9;3;12;319;16,2;1016,6
04.01.2020;72,19651208;7,6;4,7;11;307;32,3;1017,2
03.01.2020;27,78872458;7,2;5;10;252;36,7;1018,5
02.01.2020;27,71152042;6,3;3;9,5;173;22,9;1019,4
01.01.2020;49,92748917;8,8;6;12;277;22,8;1019,2
31.12.2019;26,11575167;7,5;5,5;9;323;33,2;1010,6
30.12.2019;25,88126458;7,3;6;10;290;22,8;1013,3
29.12.2019;29,02935667;5,9;2;9,1;290;6,2;1013,2
28.12.2019;57,10553;8;6;11;290;18,1;1015,7
27.12.2019;41,09887375;9,1;6;12,6;228;25,5;1008,4
26.12.2019;50,40967667;8,9;6;12;228;10,4;1004,8
25.12.2019;66,3760125;10,4;8;13;261,75;6,1;998,9
24.12.2019;70,02891625;12;9,7;17;261,9375;18,8;999,2
23.12.2019;49,93290625;16;14,6;18;168;27,5;1012,6
22.12.2019;50,33433625;11,9;8,6;15;216;12,1;1019,5
21.12.2019;208,3850458;8,9;3,7;15;216;2,9;1024,7
20.12.2019;232,254825;9,2;4;18;216;2,2;1029
19.12.2019;208,2506958;8,8;2,2;17;216;2,6;1029
18.12.2019;211,9202988;8,6;3;18;144;1,8;1026
17.12.2019;158,1646046;10,1;4,2;18,1;144;4,9;1025,3
16.12.2019;139,1805796;12,2;6;18,5;178;9,5;1015,3
15.12.2019;75,97495542;12,2;8;17;161;16;1001,9
14.12.2019;78,63794667;10,6;8,7;14;161;7,6;1004,5
13.12.2019;143,0424492;11;6,7;16,1;161;5,9;1005,7
12.12.2019;149,1534013;10,2;5,2;13;161;5,9;1009,3
11.12.2019;111,3696843;6,9;1;15,5;161;4,6;1009,3
10.12.2019;136,6339654;8,5;3;14,1;161;8,7;1014,8
09.12.2019;82,24316458;10,5;6,7;14,5;161;9,5;1016,3
08.12.2019;110,1112158;5,7;-1;13;161;4,2;1016,3
07.12.2019;125,6225267;6,3;1,2;11;161;14,1;1023
06.12.2019;62,0741575;8,5;6;11,5;271;24,6;1023,7
05.12.2019;37,14622667;7,9;6;10;271;24,6;1018,4
04.12.2019;94,10371875;8,1;2;16;271;2,8;1019,3
03.12.2019;104,7015367;8,4;3;13,1;271;15;1021,8
02.12.2019;52,73435125;12,5;8;15,2;127;16,4;1017,8
01.12.2019;39,75822958;14,8;10;20,2;127;8,7;1014,1
30.11.2019;88,92581875;16,9;14;21;195;15,2;1012,8
29.11.2019;57,94355958;11,8;6;18,1;195;7;1015,8
28.11.2019;117,940595;11;7;17,6;193;3,9;1011,5
27.11.2019;75,78358583;13,2;11;16;195;3,9;1006,5
26.11.2019;75,85446917;13,5;12;14,2;195;8,8;1009,4
25.11.2019;101,1535638;12,7;8;19;195;2,9;1009,4
24.11.2019;115,9989288;14,5;12;20;195;2,9;1017,4
23.11.2019;149,2561792;13,8;12;16;195;6;1015,4
22.11.2019;134,3345225;13,8;7,6;21;195;5,5;1017,1
21.11.2019;138,585675;12,3;6;21;195;3,3;1020
20.11.2019;117,305975;13,3;7;23;195;3,1;1022,1
19.11.2019;120,027085;13,8;10;20;195;2,3;1020,2
18.11.2019;133,288825;14,2;9;21;195;2,4;1018,4
17.11.2019;106,5184696;15;9;21,7;195;8,5;1019,3
16.11.2019;89,90820333;15,3;10;22;195;4,6;1017,2
15.11.2019;94,91358458;16,4;14;20;195;6,9;1011,6
14.11.2019;94,33903333;16,8;11,7;23;195;5,2;1012,9
13.11.2019;112,1433042;16,1;9;25,5;195;2,8;1015,8
12.11.2019;93,20659833;16,3;14;21;195;3,2;1017,8
11.11.2019;89,41929917;16,8;11;24;195;7,1;1016
10.11.2019;85,45703958;17,3;12,7;23,1;195;5,9;1017,4
09.11.2019;79,0039825;17,3;12;25;195;7;1015,2
08.11.2019;83,7151725;18;14;24,1;195;9,6;1015,5
07.11.2019;84,87950333;18,4;16;22;195;10,7;1016
06.11.2019;84,59795625;17,1;12;24;195;14,2;1016
05.11.2019;62,63092292;14;7;22;195;6,2;1016
04.11.2019;73,12676167;14,9;11;20;195;18,9;1016
03.11.2019;61,93570917;16,6;13,7;21;195;14,7;1016
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
