"Tarih","PM10","temperature","temperature_min","temperature_max","winddirection","windspeed","pressure"
"","PM10 ( �g/m� )","temperature","temperature_min","temperature_max","winddirection","windspeed","pressure"
"02/26/2020 00:00:56","84.8014066666667","10.6","2","19.5","167","15.2","1013.6"
"02/25/2020 00:00:56","84.464285","9.3","3","16.1","261","10.9","1017.2"
"02/24/2020 00:00:56","83.6126295454545","7.4","0.7","15","185","6.6","1017.6"
"02/23/2020 00:00:56","31.61436875","8.6","5","13","241","29.5","1020.2"
"02/22/2020 00:00:56","35.0319945833333","7.9","5.6","11","199","32.3","1018.5"
"02/21/2020 00:00:56","36.6197608333333","9","6.6","11","247","28.8","1012.6"
"02/20/2020 00:00:56","84.0552445833334","8.5","6","11","171","7.7","1011.7"
"02/19/2020 00:00:56","94.0355854166667","9.3","3","17","171","4.1","1017.7"
"02/18/2020 00:00:56","86.1079045833333","9.5","1.7","17.2","175","8","1018.6"
"02/17/2020 00:00:56","40.5102891666667","10.3","7","15","306","26.9","1022.3"
"02/16/2020 00:00:56","34.3106166666667","10.5","8","14","251","31.4","1022.8"
"02/15/2020 00:00:56","54.9183345833333","10.5","10","12","254","10.2","1016.1"
"02/14/2020 00:00:56","82.4952045833333","7.6","1","14","159","7.7","1020.9"
"02/13/2020 00:00:56","35.37828","12.1","9","16","197","21.7","1021.5"
"02/12/2020 00:00:56","70.85714625","13.5","9.7","19","163","10.6","1014.9"
"02/11/2020 00:00:56","93.7355708333333","8.3","1","16","163","10.4","1015.9"
"02/10/2020 00:00:56","67.1335858333333","2.2","-5","11","188","4.7","1026.6"
"02/09/2020 00:00:56","32.7521625","0.8","-4","6","131","12.7","1031.7"
"02/08/2020 00:00:56","30.7630170833333","1.9","-1","4.2","176","21.6","1025.2"
"02/07/2020 00:00:56","31.0545725","4.4","2.6","7.1","176","28.6","1014.5"
"02/06/2020 00:00:56","25.6114113333333","7.1","4","10.6","218","12.6","1004.5"
"02/05/2020 00:00:56","30.62228375","14.3","9","17","190","34.4","996.1"
"02/04/2020 00:00:56","62.8284883333333","13.9","11.2","17","167","16.2","1011.9"
"02/03/2020 00:00:56","90.8678733333333","11.2","7.2","16","159","11.4","1018.2"
"02/02/2020 00:00:56","111.512297083333","8.9","2","17","174","6.7","1020"
"02/01/2020 00:00:56","98.4448854166667","8.1","1.2","17","177","5.4","1018.6"
"01/31/2020 00:00:56","71.1361995833333","5.9","-1","12.1","185","7.7","1020.2"
"01/30/2020 00:00:56","30.3654245833333","10.9","7","15.2","229","15.7","1013.1"
"01/29/2020 00:00:56","89.9032304166667","9.2","3.7","16.6","160","10","1015.1"
"01/28/2020 00:00:56","63.75553125","10.5","6","14","169","7.5","1015.2"
"01/27/2020 00:00:56","147.908831666667","10.7","7.1","16","160","11.4","1020.3"
"01/26/2020 00:00:56","139.595202916667","7.6","2.5","13","176","5.7","1026.9"
"01/25/2020 00:00:56","108.111219166667","3.9","-3","14","180","5.4","1027.9"
"01/24/2020 00:00:56","42.6932925","5.3","-2","10","195","20.9","1029.8"
"01/23/2020 00:00:56","85.7696820833333","3.9","-3","12.2","149","20.6","1023.4"
"01/22/2020 00:00:56","61.4434227777778","4.9","1","10","226","21.8","1027.6"
"01/21/2020 00:00:56","35.834945","4.8","3","7.5","213","36.2","1033.6"
"01/20/2020 00:00:56","50.9266625","6.2","3.6","9.6","214","26.4","1030.6"
"01/19/2020 00:00:56","37.0767879166667","5.7","-0.4","10","202","20.2","1018.9"
"01/18/2020 00:00:56","32.0430225","8.1","5","12","346","28.3","1018.9"
"01/17/2020 00:00:56","40.68922625","8.1","4.5","12","267","26.5","1018.6"
"01/16/2020 00:00:56","80.4849870833333","8.8","5.5","12.6","241","27.4","1019.7"
"01/15/2020 00:00:56","171.860950416667","5.9","0","13","232","10.5","1024.5"
"01/14/2020 00:00:56","117.454866666667","7.4","1","13","232","6.8","1024.5"
"01/13/2020 00:00:56","85.8925075","7.4","2","12","286","16.3","1024.5"
"01/12/2020 00:00:56","112.180470416667","8.1","3.5","15","286","9.8","1023"
"01/11/2020 00:00:56","117.942533333333","5.5","0","11","286","15.1","1021.9"
"01/10/2020 00:00:56","61.4386095833333","5.8","3","10","286","34.7","1020.8"
"01/09/2020 00:00:56","25.3830316666667","6.7","5","9","185","39.5","1017.9"
"01/08/2020 00:00:56","24.1329491666667","6.9","5.7","8.2","338","38.8","1009.6"
"01/07/2020 00:00:56","20.3702775","6.2","4.7","7","319","28.1","1003.3"
"01/06/2020 00:00:56","30.74355375","4","-1.5","11","319","4.9","1003.3"
"01/05/2020 00:00:56","102.423806666667","6.9","3","12","319","16.2","1016.6"
"01/04/2020 00:00:56","72.1965120833333","7.6","4.7","11","307","32.3","1017.2"
"01/03/2020 00:00:56","27.7887245833333","7.2","5","10","252","36.7","1018.5"
"01/02/2020 00:00:56","27.7115204166667","6.3","3","9.5","173","22.9","1019.4"
